"Day ","Items ","Note ","Amount "
"87","Retail","Revenue - Retail Sales New York - Red Wine","32240"
"87","Retail","Revenue - Retail Sales New York - White Wine","17385"
"87","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","10304"
"87","Retail","Revenue - Retail Sales Detroit - Red Wine","18582"
"87","Retail","Revenue - Retail Sales Detroit - White Wine","13475"
"87","Retail","Revenue - Retail Sales Chicago - Sparkling Wine","6390"
"87","Retail","Revenue - Retail Sales Chicago - Red Wine","6700"
"87","Retail","Revenue - Retail Sales Chicago - White Wine","7293"
"87","Retail","Revenue - Retail Sales Miami - Sparkling Wine","3168"
"87","Retail","Revenue - Retail Sales Miami - Red Wine","3555"
"87","Retail","Revenue - Retail Sales Miami - White Wine","3724"
"87","Rental Expense","Cash Payment - Rental - New York","-4020"
"87","Rental Expense","Cash Payment - Rental - Washington, D.C.","-4800"
"87","Rental Expense","Cash Payment - Rental - Detroit","-1500"
"87","Rental Expense","Cash Payment - Rental - Chicago","-2220"
"87","Rental Expense","Cash Payment - Rental - Miami","-1120"
"86","Sales E Commerce","Revenue - ECM SO ID: 13798","17595"
"86","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14573 ","-15300"
"86","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14573 ","-52020"
"86","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14573 ","-19190"
"86","Human Resource Expense","Attended Training","-15000"
"86","Salary Expense","Cash Payment - Salary Expense","-30986"
"86","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14378","-143"
"86","Retail","Revenue - Retail Sales New York - Sparkling Wine","16464"
"86","Retail","Revenue - Retail Sales New York - Red Wine","30380"
"86","Retail","Revenue - Retail Sales New York - White Wine","19581"
"86","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","9912"
"86","Retail","Revenue - Retail Sales Detroit - Red Wine","17670"
"86","Retail","Revenue - Retail Sales Detroit - White Wine","12265"
"86","Retail","Revenue - Retail Sales Chicago - Sparkling Wine","6255"
"86","Retail","Revenue - Retail Sales Chicago - Red Wine","7300"
"86","Retail","Revenue - Retail Sales Chicago - White Wine","7905"
"86","Retail","Revenue - Retail Sales Miami - Sparkling Wine","2772"
"86","Retail","Revenue - Retail Sales Miami - Red Wine","3690"
"86","Retail","Revenue - Retail Sales Miami - White Wine","4214"
"86","Rental Expense","Cash Payment - Rental - New York","-4020"
"86","Rental Expense","Cash Payment - Rental - Washington, D.C.","-4800"
"86","Rental Expense","Cash Payment - Rental - Detroit","-1500"
"86","Rental Expense","Cash Payment - Rental - Chicago","-2220"
"86","Rental Expense","Cash Payment - Rental - Miami","-1120"
"85","Sales E Commerce","Revenue - ECM SO ID: 13640","12212"
"85","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14182 ","-53550"
"85","Human Resource Expense","Counselled","-2000"
"85","Salary Expense","Cash Payment - Salary Expense","-30986"
"85","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14198","-230"
"85","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14204","-294"
"85","Retail","Revenue - Retail Sales New York - Sparkling Wine","17528"
"85","Retail","Revenue - Retail Sales New York - Red Wine","28830"
"85","Retail","Revenue - Retail Sales New York - White Wine","19154"
"85","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","9408"
"85","Retail","Revenue - Retail Sales Detroit - Red Wine","17727"
"85","Retail","Revenue - Retail Sales Detroit - White Wine","11495"
"85","Retail","Revenue - Retail Sales Chicago - Sparkling Wine","6525"
"85","Retail","Revenue - Retail Sales Chicago - Red Wine","6850"
"85","Retail","Revenue - Retail Sales Chicago - White Wine","7701"
"85","Retail","Revenue - Retail Sales Miami - Sparkling Wine","3036"
"85","Retail","Revenue - Retail Sales Miami - Red Wine","3600"
"85","Retail","Revenue - Retail Sales Miami - White Wine","3920"
"85","Rental Expense","Cash Payment - Rental - New York","-4020"
"85","Rental Expense","Cash Payment - Rental - Washington, D.C.","-4800"
"85","Rental Expense","Cash Payment - Rental - Detroit","-1500"
"85","Rental Expense","Cash Payment - Rental - Chicago","-2220"
"85","Rental Expense","Cash Payment - Rental - Miami","-1120"
"84","Sales E Commerce","Revenue - ECM SO ID: 13495","31703"
