"Day ","Items ","Note ","Amount "
"75","Retail","Revenue - Retail Sales Miami - Sparkling Wine","3157"
"75","Retail","Revenue - Retail Sales Miami - Red Wine","3960"
"75","Retail","Revenue - Retail Sales Miami - White Wine","4140"
"75","Rental Expense","Cash Payment - Rental - New York","-4020"
"75","Rental Expense","Cash Payment - Rental - Washington, D.C.","-4800"
"75","Rental Expense","Cash Payment - Rental - Detroit","-1500"
"75","Rental Expense","Cash Payment - Rental - Chicago","-2220"
"75","Rental Expense","Cash Payment - Rental - Miami","-1120"
"74","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 12269 ","-15000"
"74","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 12269 ","-17000"
"74","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 12269 ","-19380"
"74","Wholesales (B2B)","Revenue - B2B SO ID: 11396","270000"
"74","Wholesales (B2B)","Revenue - B2B SO ID: 11401","275000"
"74","Salary Expense","Cash Payment - Salary Expense","-29493"
"74","Retail","Revenue - Retail Sales New York - Sparkling Wine","16008"
"74","Retail","Revenue - Retail Sales New York - Red Wine","28145"
"74","Retail","Revenue - Retail Sales New York - White Wine","18228"
"74","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","7897"
"74","Retail","Revenue - Retail Sales Detroit - Red Wine","14094"
"74","Retail","Revenue - Retail Sales Detroit - White Wine","10335"
"74","Retail","Revenue - Retail Sales Chicago - Sparkling Wine","6888"
"74","Retail","Revenue - Retail Sales Chicago - Red Wine","7614"
"74","Retail","Revenue - Retail Sales Chicago - White Wine","7920"
"74","Retail","Revenue - Retail Sales Miami - Sparkling Wine","3239"
"74","Retail","Revenue - Retail Sales Miami - Red Wine","3740"
"74","Retail","Revenue - Retail Sales Miami - White Wine","3864"
"74","Rental Expense","Cash Payment - Rental - New York","-4020"
"74","Rental Expense","Cash Payment - Rental - Washington, D.C.","-4800"
"74","Rental Expense","Cash Payment - Rental - Detroit","-1500"
"74","Rental Expense","Cash Payment - Rental - Chicago","-2220"
"74","Rental Expense","Cash Payment - Rental - Miami","-1120"
"73","Human Resource Expense","Cash Payment - Staff Recruiting","-15000"
"73","Wholesales (B2B)","Revenue - B2B SO ID: 11781","230340"
"73","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 12166 ","-15000"
"73","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 12166 ","-17000"
"73","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 12166 ","-19380"
"73","Human Resource Expense","Counselled","-2000"
"73","Human Resource Expense","Counselled","-2000"
"73","Salary Expense","Cash Payment - Salary Expense","-29493"
"73","Retail","Revenue - Retail Sales New York - Sparkling Wine","17864"
"73","Retail","Revenue - Retail Sales New York - Red Wine","28730"
"73","Retail","Revenue - Retail Sales New York - White Wine","16492"
"73","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","8321"
"73","Retail","Revenue - Retail Sales Detroit - Red Wine","15822"
"73","Retail","Revenue - Retail Sales Detroit - White Wine","9593"
"73","Retail","Revenue - Retail Sales Chicago - Sparkling Wine","7476"
"73","Retail","Revenue - Retail Sales Chicago - Red Wine","7849"
"73","Retail","Revenue - Retail Sales Chicago - White Wine","8112"
"73","Retail","Revenue - Retail Sales Miami - Sparkling Wine","3116"
"73","Retail","Revenue - Retail Sales Miami - Red Wine","3696"
"73","Retail","Revenue - Retail Sales Miami - White Wine","4048"
"73","Rental Expense","Cash Payment - Rental - New York","-4020"
"73","Rental Expense","Cash Payment - Rental - Washington, D.C.","-4800"
"73","Rental Expense","Cash Payment - Rental - Detroit","-1500"
"73","Rental Expense","Cash Payment - Rental - Chicago","-2220"
"73","Rental Expense","Cash Payment - Rental - Miami","-1120"
"72","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 11572 ","-15000"
"72","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 11572 ","-17000"
"72","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 11572 ","-19000"
"72","Salary Expense","Cash Payment - Salary Expense","-29097"
"72","Retail","Revenue - Retail Sales New York - Sparkling Wine","16414"
"72","Retail","Revenue - Retail Sales New York - Red Wine","27885"
"72","Retail","Revenue - Retail Sales New York - White Wine","17050"
"72","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","7261"
"72","Retail","Revenue - Retail Sales Detroit - Red Wine","15066"
"72","Retail","Revenue - Retail Sales Detroit - White Wine","10282"
"72","Retail","Revenue - Retail Sales Chicago - Sparkling Wine","7350"
"72","Retail","Revenue - Retail Sales Chicago - Red Wine","7849"
"72","Retail","Revenue - Retail Sales Chicago - White Wine","8208"
"72","Retail","Revenue - Retail Sales Miami - Sparkling Wine","2952"
"72","Retail","Revenue - Retail Sales Miami - Red Wine","3564"
"72","Retail","Revenue - Retail Sales Miami - White Wine","3634"
"72","Rental Expense","Cash Payment - Rental - New York","-4020"
"72","Rental Expense","Cash Payment - Rental - Washington, D.C.","-4800"
"72","Rental Expense","Cash Payment - Rental - Detroit","-1500"
"72","Rental Expense","Cash Payment - Rental - Chicago","-2220"
"72","Rental Expense","Cash Payment - Rental - Miami","-1120"
"71","Wholesales (B2B)","Revenue - B2B SO ID: 10536","352000"
"71","Human Resource Expense","Counselled","-2000"
"71","Human Resource Expense","Counselled","-2000"
"71","Human Resource Expense","Counselled","-2000"
"71","Salary Expense","Cash Payment - Salary Expense","-28768"
"71","Retail","Revenue - Retail Sales New York - Sparkling Wine","17331"
"71","Retail","Revenue - Retail Sales New York - Red Wine","30720"
"71","Retail","Revenue - Retail Sales New York - White Wine","16188"
"71","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","8784"
"71","Retail","Revenue - Retail Sales Detroit - Red Wine","15778"
"71","Retail","Revenue - Retail Sales Detroit - White Wine","11040"
"71","Retail","Revenue - Retail Sales Chicago - Sparkling Wine","8246"
"71","Retail","Revenue - Retail Sales Chicago - Red Wine","8148"
"71","Retail","Revenue - Retail Sales Chicago - White Wine","9761"
"71","Retail","Revenue - Retail Sales Miami - Sparkling Wine","3096"
"71","Retail","Revenue - Retail Sales Miami - Red Wine","3627"
"71","Retail","Revenue - Retail Sales Miami - White Wine","4100"
"71","Rental Expense","Cash Payment - Rental - New York","-4020"
"71","Rental Expense","Cash Payment - Rental - Washington, D.C.","-4800"
"71","Rental Expense","Cash Payment - Rental - Detroit","-1500"
"71","Rental Expense","Cash Payment - Rental - Chicago","-2220"
"71","Rental Expense","Cash Payment - Rental - Miami","-1120"
"70","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 11205 ","-57120"
"70","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 11205 ","-158256"
"70","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 11205 ","-201600"
"70","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 11390 ","-15000"
"70","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 11390 ","-17000"
"70","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 11390 ","-95000"
"70","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 11403 ","-15000"
"70","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 11403 ","-17000"
"70","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 11403 ","-19000"
"70","Wholesales (B2B)","Revenue - B2B SO ID: 10660","168000"
"70","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 11597 ","-109200"
"70","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 11597 ","-104000"
"70","Salary Expense","Cash Payment - Salary Expense","-28387"
"70","Retail","Revenue - Retail Sales New York - Sparkling Wine","17384"
"70","Retail","Revenue - Retail Sales New York - Red Wine","30480"
"70","Retail","Revenue - Retail Sales New York - White Wine","18411"
"70","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","11472"
"70","Retail","Revenue - Retail Sales Detroit - Red Wine","21805"
"70","Retail","Revenue - Retail Sales Detroit - White Wine","13488"
"70","Retail","Revenue - Retail Sales Chicago - Sparkling Wine","7600"
"70","Retail","Revenue - Retail Sales Chicago - Red Wine","7728"
"70","Retail","Revenue - Retail Sales Chicago - White Wine","8643"
"70","Retail","Revenue - Retail Sales Miami - Sparkling Wine","3168"
"70","Retail","Revenue - Retail Sales Miami - Red Wine","4134"
"70","Retail","Revenue - Retail Sales Miami - White Wine","3936"
"70","Rental Expense","Cash Payment - Rental - New York","-4020"
"70","Rental Expense","Cash Payment - Rental - Washington, D.C.","-4800"
"70","Rental Expense","Cash Payment - Rental - Detroit","-1500"
"70","Rental Expense","Cash Payment - Rental - Chicago","-2220"
"70","Rental Expense","Cash Payment - Rental - Miami","-1120"
"69","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 10995 ","-135072"
"69","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 10995 ","-158256"
"69","Salary Expense","Cash Payment - Salary Expense","-28303"
"69","Retail","Revenue - Retail Sales New York - Sparkling Wine","16112"
"69","Retail","Revenue - Retail Sales New York - Red Wine","28380"
"69","Retail","Revenue - Retail Sales New York - White Wine","17556"
"69","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","11616"
"69","Retail","Revenue - Retail Sales Detroit - Red Wine","20384"
"69","Retail","Revenue - Retail Sales Detroit - White Wine","14208"
"69","Retail","Revenue - Retail Sales Chicago - Sparkling Wine","7828"
"69","Retail","Revenue - Retail Sales Chicago - Red Wine","8400"
"69","Retail","Revenue - Retail Sales Chicago - White Wine","9030"
"69","Retail","Revenue - Retail Sales Miami - Sparkling Wine","3384"
"69","Retail","Revenue - Retail Sales Miami - Red Wine","3627"
"69","Retail","Revenue - Retail Sales Miami - White Wine","3895"
"69","Rental Expense","Cash Payment - Rental - New York","-4020"
"69","Rental Expense","Cash Payment - Rental - Washington, D.C.","-4800"
"69","Rental Expense","Cash Payment - Rental - Detroit","-1500"
"69","Rental Expense","Cash Payment - Rental - Chicago","-2220"
"69","Rental Expense","Cash Payment - Rental - Miami","-1120"
"68","Sales E Commerce","Revenue - ECM SO ID: 10305","9384"
"68","Human Resource Expense","Counselled","-2000"
"68","Salary Expense","Cash Payment - Salary Expense","-28303"
"68","Retail","Revenue - Retail Sales New York - Sparkling Wine","18391"
"68","Retail","Revenue - Retail Sales New York - Red Wine","28380"
"68","Retail","Revenue - Retail Sales New York - White Wine","18240"
"68","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","10848"
"68","Retail","Revenue - Retail Sales Detroit - Red Wine","21021"
"68","Retail","Revenue - Retail Sales Detroit - White Wine","12960"
"68","Retail","Revenue - Retail Sales Chicago - Sparkling Wine","7676"
"68","Retail","Revenue - Retail Sales Chicago - Red Wine","8820"
"68","Retail","Revenue - Retail Sales Chicago - White Wine","8944"
"68","Retail","Revenue - Retail Sales Miami - Sparkling Wine","3060"
"68","Retail","Revenue - Retail Sales Miami - Red Wine","3900"
"68","Retail","Revenue - Retail Sales Miami - White Wine","4387"
"68","Rental Expense","Cash Payment - Rental - New York","-4020"
"68","Rental Expense","Cash Payment - Rental - Washington, D.C.","-4800"
"68","Rental Expense","Cash Payment - Rental - Detroit","-1500"
"68","Rental Expense","Cash Payment - Rental - Chicago","-2220"
"68","Rental Expense","Cash Payment - Rental - Miami","-1120"
"67","Wholesales (B2B)","Revenue - B2B SO ID: 9219","378000"
"67","Penalty Expense","Cash Payment - Late penalty - B2B SO ID: 9219","-24000"
"67","Wholesales (B2B)","Revenue - B2B SO ID: 9392","177660"
"67","Penalty Expense","Cash Payment - Late penalty - B2B SO ID: 9392","-40000"
"67","Human Resource Expense","Counselled","-2000"
"67","Human Resource Expense","Counselled","-2000"
"67","Human Resource Expense","Counselled","-2000"
"67","Human Resource Expense","Counselled","-2000"
"67","Salary Expense","Cash Payment - Salary Expense","-28245"
"67","Retail","Revenue - Retail Sales New York - Sparkling Wine","15953"
"67","Retail","Revenue - Retail Sales New York - Red Wine","29880"
"67","Retail","Revenue - Retail Sales New York - White Wine","16188"
"67","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","11712"
"67","Retail","Revenue - Retail Sales Detroit - Red Wine","20825"
"67","Retail","Revenue - Retail Sales Detroit - White Wine","13776"
"67","Retail","Revenue - Retail Sales Chicago - Sparkling Wine","7828"
"67","Retail","Revenue - Retail Sales Chicago - Red Wine","8820"
"67","Retail","Revenue - Retail Sales Chicago - White Wine","9761"
"67","Retail","Revenue - Retail Sales Miami - Sparkling Wine","3204"
"67","Retail","Revenue - Retail Sales Miami - Red Wine","3939"
"67","Retail","Revenue - Retail Sales Miami - White Wine","4059"
"67","Rental Expense","Cash Payment - Rental - New York","-4020"
"67","Rental Expense","Cash Payment - Rental - Washington, D.C.","-4800"
"67","Rental Expense","Cash Payment - Rental - Detroit","-1500"
"67","Rental Expense","Cash Payment - Rental - Chicago","-2220"
"67","Rental Expense","Cash Payment - Rental - Miami","-1120"
"66","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 10488 ","-45360"
"66","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 10488 ","-62496"
"66","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 10488 ","-110208"
"66","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 10488 ","-248640"
"66","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 10488 ","-41664"
"66","Human Resource Expense","Counselled","-2000"
"66","Salary Expense","Cash Payment - Salary Expense","-28245"
"66","Retail","Revenue - Retail Sales New York - Sparkling Wine","16483"
"66","Retail","Revenue - Retail Sales New York - Red Wine","31980"
"66","Retail","Revenue - Retail Sales New York - White Wine","17043"
"66","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","11472"
"66","Retail","Revenue - Retail Sales Detroit - Red Wine","19159"
"66","Retail","Revenue - Retail Sales Detroit - White Wine","13776"
"66","Retail","Revenue - Retail Sales Chicago - Sparkling Wine","8246"
"66","Retail","Revenue - Retail Sales Chicago - Red Wine","7812"
"66","Retail","Revenue - Retail Sales Chicago - White Wine","9202"
"66","Retail","Revenue - Retail Sales Miami - Sparkling Wine","3492"
"66","Retail","Revenue - Retail Sales Miami - Red Wine","3783"
"66","Retail","Revenue - Retail Sales Miami - White Wine","3854"
"66","Rental Expense","Cash Payment - Rental - New York","-4020"
"66","Rental Expense","Cash Payment - Rental - Washington, D.C.","-4800"
"66","Rental Expense","Cash Payment - Rental - Detroit","-1500"
"66","Rental Expense","Cash Payment - Rental - Chicago","-2220"
"66","Rental Expense","Cash Payment - Rental - Miami","-1120"
"65","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 10336 ","-5910"
"65","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 10336 ","-7460"
"65","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 10336 ","-8640"
"65","Salary Expense","Cash Payment - Salary Expense","-28245"
"65","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10305","-93"
"65","Retail","Revenue - Retail Sales New York - Sparkling Wine","17331"
"65","Retail","Revenue - Retail Sales New York - Red Wine","28620"
"65","Retail","Revenue - Retail Sales New York - White Wine","17727"
"65","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","11040"
"65","Retail","Revenue - Retail Sales Detroit - Red Wine","20384"
"65","Retail","Revenue - Retail Sales Detroit - White Wine","13488"
"65","Retail","Revenue - Retail Sales Chicago - Sparkling Wine","8208"
"65","Retail","Revenue - Retail Sales Chicago - Red Wine","7896"
"65","Retail","Revenue - Retail Sales Chicago - White Wine","8944"
"65","Retail","Revenue - Retail Sales Miami - Sparkling Wine","3168"
"65","Retail","Revenue - Retail Sales Miami - Red Wine","4056"
"65","Retail","Revenue - Retail Sales Miami - White Wine","4387"
"65","Rental Expense","Cash Payment - Rental - New York","-4020"
"65","Rental Expense","Cash Payment - Rental - Washington, D.C.","-4800"
"65","Rental Expense","Cash Payment - Rental - Detroit","-1500"
"65","Rental Expense","Cash Payment - Rental - Chicago","-2220"
"65","Rental Expense","Cash Payment - Rental - Miami","-1120"
"64","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 9959 ","-7548"
"64","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 9959 ","-93568"
"64","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 9959 ","-130560"
"64","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 9959 ","-2880"
"64","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 10288 ","-7580"
"64","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 10288 ","-7980"
"64","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 10288 ","-7290"
"64","Wholesales (B2B)","Revenue - B2B SO ID: 10101","387000"
"64","Human Resource Expense","Counselled","-2000"
"64","Salary Expense","Cash Payment - Salary Expense","-28245"
"64","Retail","Revenue - Retail Sales New York - Sparkling Wine","11289"
"64","Retail","Revenue - Retail Sales New York - Red Wine","16620"
"64","Retail","Revenue - Retail Sales New York - White Wine","8493"
"64","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","7776"
"64","Retail","Revenue - Retail Sales Detroit - Red Wine","12985"
"64","Retail","Revenue - Retail Sales Detroit - White Wine","8160"
"64","Retail","Revenue - Retail Sales Chicago - Sparkling Wine","5320"
"64","Retail","Revenue - Retail Sales Chicago - Red Wine","4326"
"64","Retail","Revenue - Retail Sales Chicago - White Wine","5461"
"64","Retail","Revenue - Retail Sales Miami - Sparkling Wine","1944"
"64","Retail","Revenue - Retail Sales Miami - Red Wine","2067"
"64","Retail","Revenue - Retail Sales Miami - White Wine","1927"
"64","Overflow Expense - Retail","Cash Payment - Overflow Fee  - New York","-78"
"64","Rental Expense","Cash Payment - Rental - New York","-4020"
"64","Rental Expense","Cash Payment - Rental - Washington, D.C.","-4800"
"64","Rental Expense","Cash Payment - Rental - Detroit","-1500"
"64","Rental Expense","Cash Payment - Rental - Chicago","-2220"
"64","Rental Expense","Cash Payment - Rental - Miami","-1120"
"63","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 9913 ","-5250"
"63","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 9913 ","-5950"
"63","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 9913 ","-7980"
"63","Wholesales (B2B)","Revenue - B2B SO ID: 8686","832500"
"63","Penalty Expense","Cash Payment - Late penalty - B2B SO ID: 8686","-18000"
"63","Wholesales (B2B)","Revenue - B2B SO ID: 9565","294000"
"63","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 10274 ","-24720"
"63","Human Resource Expense","Counselled","-2000"
"63","Human Resource Expense","Counselled","-2000"
"63","Human Resource Expense","Staff Transfer","-15000"
"63","Salary Expense","Cash Payment - Salary Expense","-28245"
"63","Retail","Revenue - Retail Sales New York - Sparkling Wine","11130"
"63","Retail","Revenue - Retail Sales New York - Red Wine","20940"
"63","Retail","Revenue - Retail Sales New York - White Wine","10602"
"63","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","7296"
"63","Retail","Revenue - Retail Sales Detroit - Red Wine","10143"
"63","Retail","Revenue - Retail Sales Detroit - White Wine","7536"
"63","Retail","Revenue - Retail Sales Chicago - Sparkling Wine","4826"
"63","Retail","Revenue - Retail Sales Chicago - Red Wine","4074"
"63","Retail","Revenue - Retail Sales Chicago - White Wine","4988"
"63","Retail","Revenue - Retail Sales Miami - Sparkling Wine","1908"
"63","Retail","Revenue - Retail Sales Miami - Red Wine","2340"
"63","Retail","Revenue - Retail Sales Miami - White Wine","2255"
"63","Overflow Expense - Retail","Cash Payment - Overflow Fee  - New York","-234"
"63","Rental Expense","Cash Payment - Rental - New York","-4020"
"63","Rental Expense","Cash Payment - Rental - Washington, D.C.","-4800"
"63","Rental Expense","Cash Payment - Rental - Detroit","-1500"
"63","Rental Expense","Cash Payment - Rental - Chicago","-2220"
"63","Rental Expense","Cash Payment - Rental - Miami","-1120"
"62","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 9725 ","-13950"
"62","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 9725 ","-41616"
"62","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 9725 ","-23370"
"62","Wholesales (B2B)","Revenue - B2B SO ID: 9727","84328"
"62","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 10122 ","-17550"
"62","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 10122 ","-52564"
"62","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 10122 ","-9500"
"62","Salary Expense","Cash Payment - Salary Expense","-28669"
"62","Retail","Revenue - Retail Sales New York - Sparkling Wine","11400"
"62","Retail","Revenue - Retail Sales New York - Red Wine","14421"
"62","Retail","Revenue - Retail Sales New York - White Wine","9450"
"62","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","6300"
"62","Retail","Revenue - Retail Sales Detroit - Red Wine","15272"
"62","Retail","Revenue - Retail Sales Detroit - White Wine","9630"
"62","Retail","Revenue - Retail Sales Chicago - Sparkling Wine","5250"
"62","Retail","Revenue - Retail Sales Chicago - Red Wine","5148"
"62","Retail","Revenue - Retail Sales Chicago - White Wine","5720"
"62","Retail","Revenue - Retail Sales Miami - Sparkling Wine","1947"
"62","Retail","Revenue - Retail Sales Miami - Red Wine","2736"
"62","Retail","Revenue - Retail Sales Miami - White Wine","2166"
"62","Overflow Expense - Retail","Cash Payment - Overflow Fee  - New York","-390"
"62","Rental Expense","Cash Payment - Rental - New York","-4020"
"62","Rental Expense","Cash Payment - Rental - Washington, D.C.","-4800"
"62","Rental Expense","Cash Payment - Rental - Detroit","-1500"
"62","Rental Expense","Cash Payment - Rental - Chicago","-2220"
"62","Rental Expense","Cash Payment - Rental - Miami","-1120"
"61","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 9744 ","-6300"
"61","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 9744 ","-15810"
"61","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 9744 ","-22800"
"61","Human Resource Expense","Counselled","-2000"
"61","Wholesales (B2B)","Revenue - B2B SO ID: 9059","160940"
"61","Human Resource Expense","Counselled","-2000"
"61","Human Resource Expense","Counselled","-2000"
"61","Salary Expense","Cash Payment - Salary Expense","-28333"
"61","Retail","Revenue - Retail Sales New York - Sparkling Wine","10350"
"61","Retail","Revenue - Retail Sales New York - Red Wine","21774"
"61","Retail","Revenue - Retail Sales New York - White Wine","10260"
"61","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","7290"
"61","Retail","Revenue - Retail Sales Detroit - Red Wine","12696"
"61","Retail","Revenue - Retail Sales Detroit - White Wine","9000"
"61","Retail","Revenue - Retail Sales Chicago - Sparkling Wine","5110"
"61","Retail","Revenue - Retail Sales Chicago - Red Wine","5031"
"61","Retail","Revenue - Retail Sales Chicago - White Wine","5760"
"61","Retail","Revenue - Retail Sales Miami - Sparkling Wine","2178"
"61","Retail","Revenue - Retail Sales Miami - Red Wine","2448"
"61","Retail","Revenue - Retail Sales Miami - White Wine","2470"
"61","Rental Expense","Cash Payment - Rental - New York","-4020"
"61","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Washington, D.C.","-560"
"61","Rental Expense","Cash Payment - Rental - Washington, D.C.","-3600"
"61","Rental Expense","Cash Payment - Rental - Detroit","-1500"
"61","Rental Expense","Cash Payment - Rental - Chicago","-2220"
"61","Rental Expense","Cash Payment - Rental - Miami","-1120"
"60","Sales E Commerce","Revenue - ECM SO ID: 9040","5452"
"60","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 9577 ","-15355"
"60","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 9577 ","-41832"
"60","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 9577 ","-57104"
"60","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 9577 ","-2480"
"60","Wholesales (B2B)","Revenue - B2B SO ID: 8883","84000"
"60","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 9757 ","-4950"
"60","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 9757 ","-18360"
"60","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 9757 ","-5700"
"60","Salary Expense","Cash Payment - Salary Expense","-27499"
"60","Retail","Revenue - Retail Sales New York - Sparkling Wine","9450"
"60","Retail","Revenue - Retail Sales New York - Red Wine","16359"
"60","Retail","Revenue - Retail Sales New York - White Wine","8046"
"60","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","6930"
"60","Retail","Revenue - Retail Sales Detroit - Red Wine","14536"
"60","Retail","Revenue - Retail Sales Detroit - White Wine","7740"
"60","Retail","Revenue - Retail Sales Chicago - Sparkling Wine","4795"
"60","Retail","Revenue - Retail Sales Chicago - Red Wine","4953"
"60","Retail","Revenue - Retail Sales Chicago - White Wine","5160"
"60","Retail","Revenue - Retail Sales Miami - Sparkling Wine","1881"
"60","Retail","Revenue - Retail Sales Miami - Red Wine","2232"
"60","Retail","Revenue - Retail Sales Miami - White Wine","2356"
"60","Rental Expense","Cash Payment - Rental - New York","-4020"
"60","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Washington, D.C.","-798"
"60","Rental Expense","Cash Payment - Rental - Washington, D.C.","-3600"
"60","Rental Expense","Cash Payment - Rental - Detroit","-1500"
"60","Rental Expense","Cash Payment - Rental - Chicago","-2220"
"60","Rental Expense","Cash Payment - Rental - Miami","-1120"
"59","Wholesales (B2B)","Revenue - B2B SO ID: 9210","46096"
"59","Human Resource Expense","Counselled","-2000"
"59","Human Resource Expense","Counselled","-2000"
"59","Salary Expense","Cash Payment - Salary Expense","-27419"
"59","Retail","Revenue - Retail Sales New York - Sparkling Wine","10650"
"59","Retail","Revenue - Retail Sales New York - Red Wine","14022"
"59","Retail","Revenue - Retail Sales New York - White Wine","10584"
"59","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","7470"
"59","Retail","Revenue - Retail Sales Detroit - Red Wine","11730"
"59","Retail","Revenue - Retail Sales Detroit - White Wine","6795"
"59","Retail","Revenue - Retail Sales Chicago - Sparkling Wine","4200"
"59","Retail","Revenue - Retail Sales Chicago - Red Wine","5538"
"59","Retail","Revenue - Retail Sales Chicago - White Wine","6120"
"59","Retail","Revenue - Retail Sales Miami - Sparkling Wine","1650"
"59","Retail","Revenue - Retail Sales Miami - Red Wine","2196"
"59","Retail","Revenue - Retail Sales Miami - White Wine","2166"
"59","Rental Expense","Cash Payment - Rental - New York","-4020"
"59","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Washington, D.C.","-140"
"59","Rental Expense","Cash Payment - Rental - Washington, D.C.","-3600"
"59","Rental Expense","Cash Payment - Rental - Detroit","-1500"
"59","Rental Expense","Cash Payment - Rental - Chicago","-2220"
"59","Rental Expense","Cash Payment - Rental - Miami","-1120"
"58","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 9220 ","-35510"
"58","Wholesales (B2B)","Revenue - B2B SO ID: 8523","255000"
"58","Human Resource Expense","Counselled","-2000"
"58","Human Resource Expense","Counselled","-2000"
"58","Salary Expense","Cash Payment - Salary Expense","-27419"
"58","Retail","Revenue - Retail Sales New York - Sparkling Wine","42500"
"58","Retail","Revenue - Retail Sales New York - Red Wine","73929"
"58","Retail","Revenue - Retail Sales New York - White Wine","46818"
"58","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","31860"
